condition,value,unit,detector,n_initial_matches,n_inliers,inlier_ratio,mean_reproj_error,total_s
illumination,1.0,gain,SIFT,866,615,0.710161662817552,0.06510644406080246,0.09587316703982651
illumination,1.0,gain,ORB,644,410,0.6366459627329193,0.48526155948638916,0.031130249961279333
illumination,0.55,gain,SIFT,713,487,0.6830294530154277,0.1170959323644638,0.31806066702120006
illumination,0.55,gain,ORB,466,242,0.51931330472103,0.4492272138595581,0.18598629196640104
illumination,0.35,gain,SIFT,52,15,0.28846153846153844,0.0,0.09165908407885581
illumination,0.35,gain,ORB,76,18,0.23684210526315788,0.9066562652587891,0.039920459035784006
illumination,1.45,gain,SIFT,679,436,0.6421207658321061,0.15436795353889465,0.07066937501076609
illumination,1.45,gain,ORB,367,142,0.3869209809264305,0.6649928689002991,0.03253795800264925
illumination_photos,0.72,scene_lighting,SIFT,1202,1027,0.8544093178036606,0.16396622359752655,0.08875258301850408
illumination_photos,0.72,scene_lighting,ORB,1222,1113,0.9108019639934534,0.06644263863563538,0.027307917014695704
