condition,value,unit,detector,n_initial_matches,n_inliers,inlier_ratio,mean_reproj_error,total_s
rotation,0,deg,SIFT,866,615,0.710161662817552,0.06510644406080246,0.08780729200225323
rotation,0,deg,ORB,644,410,0.6366459627329193,0.48526155948638916,0.027402000036090612
rotation,15,deg,SIFT,562,259,0.4608540925266904,0.2392994612455368,0.10071745794266462
rotation,15,deg,ORB,345,198,0.5739130434782609,1.1086751222610474,0.028252042015083134
rotation,30,deg,SIFT,601,299,0.49750415973377704,0.19089600443840027,0.11966120800934732
rotation,30,deg,ORB,442,253,0.5723981900452488,1.0092962980270386,0.03052191692404449
rotation,45,deg,SIFT,577,275,0.47660311958405543,0.21156342327594757,0.13138300005812198
rotation,45,deg,ORB,439,251,0.571753986332574,1.0320132970809937,0.030651999986730516
rotation,90,deg,SIFT,772,483,0.6256476683937824,0.11949160695075989,0.06574937503319234
rotation,90,deg,ORB,617,368,0.5964343598055105,0.9986925721168518,0.02767895790748298
